Index;Name;Price;Count;Бренд;Высота, мм;Длина, мм;Масса, кг;Модель;Номинальная ёмкость, А/ч;Номинальное напряжение, В;Полярность;Стартовый ток EN, А;Тип батареи;Тип крепления;Токовыводы;Ширина, мм;Link
1;Аккумулятор +EFB 60 А/ч прямая L+ 242x175x190 EN580 А;7709;1;АКОМ;190;242;16,6;EFB;60;12В;прямая (+) (-);600;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);175;https://emex.ru/catalogs2/231/292554646812?productCode=6CT601&makeName=Akom&filters=
2;Аккумулятор SFB 60 А/ч обратная R+ 242x175x190 EN540 А;5984;200;Mutlu;190;242;15,1;SFB;60;12В;обратная (-) (+);540;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);175;https://emex.ru/catalogs2/231/170197995?productCode=L260054A&makeName=Mutlu&filters=
3;Батарея аккумуляторная 95А/ч 850А 12В обратная поляр. стандартные клеммы;18738;12;EXIDE;190;353;26,5;Start-Stop AGM;95;12В;обратная (-) (+);850;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);175;https://emex.ru/catalogs2/231/146964712?productCode=EK950&makeName=Exide&filters=
4;Батарея аккумуляторная 64А/ч 640А 12В обратная полярн. стандартные клеммы;7838;60;EXIDE;190;242;15,6;PREMIUM;64;12В;обратная (-) (+);640;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);175;https://emex.ru/catalogs2/231/98650212?productCode=EA640&makeName=Exide&filters=
5;Аккумулятор Silver 60 А/ч обратная R+ 242x175x190 EN540 А;9039;1;Bosch;190;242;15;Silver;60;12В;обратная (-) (+);540;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);175;https://emex.ru/catalogs2/231/79241218?productCode=0092S40050&makeName=Bosch&filters=
6;Аккумулятор 70 А/ч обратная R+ 278x175x190 EN720 А;13227;10;RENAULT;170;275;18,5; ;70;12В;обратная (-) (+);720;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);190;https://emex.ru/catalogs2/231/407333263835?productCode=7711821598&makeName=Renault&filters=
7;Батарея аккумуляторная 62А/ч 540А 12В обратная полярн. стандартные клеммы;7021;148;EXIDE;190;242;14,7;EXCELL;62;12В;обратная (-) (+);540;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);175;https://emex.ru/catalogs2/231/98650219?productCode=EB620&makeName=Exide&filters=
8;Аккумулятор AGM 7 А/ч прямая L+ 150x86x94 EN105 А;2168;200;DELTA battery;94;150;2,47; ;7;12В;прямая (+) (-);105;AGM;без выступов;болтовые мото;86;https://emex.ru/catalogs2/231/21650527537?productCode=CT1207&makeName=Delta+Battery&filters=
9;Аккумулятор Standart 60 А/ч прямая L+ 242x175x190 EN500 А РОССИЯ;4751;200;BOLK;190;242;12,8;Standart;60;12В;прямая (+) (-);500;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);175;https://emex.ru/catalogs2/231/841917595042?productCode=B603L&makeName=Bolk&filters=
10;Аккумулятор AGM 4 А/ч обратная R+ 114x70x87 EN50 А;1457;200;DELTA battery;87;114;1,32; ;4;12В;обратная (-) (+);50;AGM;без выступов;болтовые мото;70;https://emex.ru/catalogs2/231/21650527534?productCode=CT1204&makeName=Delta+Battery&filters=
11;Аккумулятор SFB 75 А/ч обратная R+ 278x175x190 EN720 А;8415;50;Mutlu;190;278;18,3;SFB;75;12В;обратная (-) (+);720;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);175;https://emex.ru/catalogs2/231/169344666?productCode=L375072A&makeName=Mutlu&filters=
12;Аккумулятор AGM 5 А/ч обратная R+ 114x70x106 EN80 А;1803;200;DELTA battery;106;114;1,82; ;5;12В;обратная (-) (+);80;AGM;без выступов;болтовые мото;70;https://emex.ru/catalogs2/231/21650527535?productCode=CT1205&makeName=Delta+Battery&filters=
13;Батарея аккумуляторная 60А/ч 540А 12В обратная полярн. стандартные клеммы;6250;165;EXIDE;175;242;14;EXCELL;60;12В;обратная (-) (+);540;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);175;https://emex.ru/catalogs2/231/145980195?productCode=EB602&makeName=Exide&filters=
14;Аккумулятор SFB 60 А/ч прямая L+ 242x175x190 EN540 А;5984;200;Mutlu;190;242;15,1;SFB;60;12В;прямая (+) (-);540;Ca/Ca (Кальциевые);выступы с 4 сторон;стандартные (Европа);175;https://emex.ru/catalogs2/231/169196872?productCode=L260054B&makeName=Mutlu&filters=
